run_id,learning_rate,batch_size,buffer_size,hidden_units,num_layers,time_horizon,beta,gamma,lambd,final_10_percent_reward_mean,mean_reward,max_reward,min_reward,late_phase_std,all_rewards_std,convergence_detected,convergence_episode,episodes_after_convergence,total_episodes,training_duration_seconds,config_hash,config_path,error_occurred,created_at,updated_at,error_message,max_steps
3DBall_20260117_205425_oe3g06,0.00003,512,16384,128,1,256,0.01,0.9,0.97,10.5952554744526,10.301970083911,36.6,4.1,3.76078091608458,3.64352235457951,true,59,10905,10964,133,-232480142417700140,,false,2026-01-17 19:56:39.647635,2026-01-17 19:56:39.647635,,250000
3DBall_20260117_205640_xo9rkg,0.00001,256,2048,32,2,64,0.0003,0.97,0.9,10.4787372330548,10.4989609425735,48.5,4.3,3.83643455170202,3.77844370441074,true,56,10723,10779,116,5001118302168139039,,false,2026-01-17 19:58:36.63006,2026-01-17 19:58:36.63006,,250000
3DBall_20260117_205837_2ecd81,0.0001,2048,8192,512,2,128,0.03,0.999,0.92,84.6810847457627,41.0880108437818,500.02,4.2,68.7416178854186,56.4216130249877,true,54,2897,2951,122,-122098290382320796,,false,2026-01-17 20:00:39.777328,2026-01-17 20:00:39.777328,,250000
3DBall_20260117_210040_f28fka,0.00001,1024,16384,128,1,128,0.0001,0.995,0.92,10.4736263736264,10.3445583524027,39,4.2,3.76727926821919,3.74215651423478,true,50,10875,10925,113,7234952336206615060,,false,2026-01-17 20:02:34.319371,2026-01-17 20:02:34.319371,,250000
3DBall_20260117_210234_itfffg,0.0001,256,4096,128,3,128,0.1,0.9,0.95,492.992227488152,116.394545023697,500.02,4.7,234.226538715682,196.347397891166,true,57,2053,2110,213,-3722064681827134491,,false,2026-01-17 20:06:08.432853,2026-01-17 20:06:08.432853,,500000
3DBall_20260117_210609_wp5dfv,0.0001,512,4096,128,3,64,0.003,0.97,0.92,377.166120689655,51.5154146970348,500.02,4.6,164.447209835036,123.178802811374,true,50,2277,2327,107,-7469450919899616152,,false,2026-01-17 20:07:56.792481,2026-01-17 20:07:56.792481,,250000
3DBall_20260117_210757_78oph0,0.00001,64,32768,256,3,128,0.01,0.999,0.99,485.361287262873,66.4205891115926,500.02,4.1,190.759276912594,145.86672744061,true,50,7334,7384,626,-4047284891706755002,,false,2026-01-17 20:18:23.586719,2026-01-17 20:18:23.586719,,1000000
3DBall_20260117_211824_apcgij,0.003,32,1024,128,3,128,0.1,0.999,0.9,482.006348314607,278.921696629213,500.02,4.2,156.107977671869,219.823636476496,true,56,1724,1780,651,-5933747734578045256,,false,2026-01-17 20:29:15.311732,2026-01-17 20:29:15.311732,,1000000
3DBall_20260117_212916_z2qj0z,0.00003,64,16384,32,1,128,0.0003,0.9,0.95,11.4486097794823,10.8827741564417,45.7,4.3,4.01526185444925,3.83573684685883,true,75,10357,10432,126,1024829676367725947,,false,2026-01-17 20:31:22.911701,2026-01-17 20:31:22.911701,,250000
3DBall_20260117_213123_9z8cbv,0.0003,2048,8192,64,3,128,0.1,0.999,0.92,346.901666666667,94.5493582375479,500.02,4.3,200.163730458708,164.38371705409,true,50,5170,5220,380,-1154772279959389247,,false,2026-01-17 20:37:43.967782,2026-01-17 20:37:43.967782,,1000000
3DBall_20260117_213744_dpkthd,0.001,32,16384,32,2,64,0.001,0.99,0.99,484.914724919094,119.339418979987,500.02,4.3,232.218567965735,196.652194807761,true,50,3048,3098,382,-1329815401586092062,,false,2026-01-17 20:44:07.297041,2026-01-17 20:44:07.297041,,750000
3DBall_20260117_214407_5wq2zt,0.0003,1024,32768,64,2,64,0.1,0.95,0.95,20.1788683602771,13.3257677210806,82.9,4.4,8.64758611474109,7.14831616501368,true,50,8612,8662,110,-8720108614682670471,,false,2026-01-17 20:45:57.98329,2026-01-17 20:45:57.98329,,250000
3DBall_20260117_214558_qyidhb,0.001,1024,1024,128,3,128,0.003,0.99,0.97,500.02,152.831239048811,500.02,4.8,230.477210178042,215.992769784872,true,59,740,799,100,8470674066626639661,,false,2026-01-17 20:47:39.000526,2026-01-17 20:47:39.000526,,250000
3DBall_20260117_214739_3fld1n,0.0001,64,4096,64,1,32,0.1,0.92,0.92,494.618109589041,66.5812096332786,500.02,4.2,191.711785789529,146.520512246175,true,52,3602,3654,222,3650894493705113089,,false,2026-01-17 20:51:22.409195,2026-01-17 20:51:22.409195,,500000
